Applicatie	RFC	Omschrijving	Status	Categorie	10 OTAP Intake	20 OTAP Bouw	30 OTAP Implementeren op test	35 OTAP Functionele test	40 OTAP Implementeren op acceptatie	45 OTAP GAT test	50 OTAP Vrijgave wijziging	60 OTAP Implementeren op productie	80 OTAP Accepteren van de wijziging	90 OTAP Bijwerken CMDB	99 OTAP Evalueren van de wijziging	20 KPW bouw	35 KPW Funct. test	45 KPW Gat test 	60 KPW Impl.op productie 	99 KPW Evaluatie vd wijziging 	10 AP-Model intake	20 AP-Model Bouw	40 AP-Model Implementeren op acceptatie 	45 AP-Model GAT test	50 AP-Model Vrijgave wijziging	60 AP-Model Implementeren op productie	80 AP-Model  Accepteren van de wijziging	90 AP-Model Bijwerken CMDB	99 AP-Model Evaluatie	10 Verkort model Intake	50 Verkort Vrijgave wijziging	60 Verkort model Implementeren op productie	80 Verkort model Acceptatie vd wijziging	90 Verkort model Bijwerken CMDB	99 Verkort model  Evaluatie 	10 P-Model intake	20 P-Model bouw	60 P-Model Implementeren op productie	80 P-Mode  Accepteren van de wijziging	90 P-Model Bijwerken CMDB	99 P-Model Evaluatie
"AMS WEB"	68.312	"AMS web:Nieuwe DNS entry/entries"	In uitvoering	CAT0												U	I	W	W	W																						
	68.313	"AMS web aanvraag  zz account door OTAP"	Geaccepteerd	CAT1																										U	U	U	I	W	W							
	68.310	"AMS webservice:  C# 4.5 applicatie via script toevoegen in ADFS   "	In uitvoering	CAT0												U	I	W	W	W																						
	68.311	"AMS webservice: Registreren standaard C# 4.5 applicatie in ISA"	In uitvoering	CAT0												U	I	W	W	W																						
	68.308	"AMSweb:: Migratie naar diensten"	In uitvoering	CAT1	U	U	U	U	U	I	W	W	W	W	W																											
"BRD"	68.404	"brd: migratie naar diensten"	In uitvoering	CAT1	U	I	W	W	W	W	W	W	W	W	W																											
"BRV"	63.979	"BRV:  migratie naar diensten"	In uitvoering	CAT1	U	U	U	U	U	I	W	W	W	W	W																											
	64.349	"brv: aanvraag zzwebbrv op gatdiensten en diensten"	In uitvoering	CAT1																	U	U	U	I	W	W	W	W	W													
"CNB DASHBOARD"	65.859	"CNB dashboard: migratie naar diensten"	In uitvoering	CAT1	U	U	U	U	U	I	W	W	W	W	W																											
"CPLUS"	68.403	"cplus: migratie naar diensten"	In uitvoering	CAT1	U	I	W	W	W	W	W	W	W	W	W																											
"CROS"	71.827	"CROS: Aanmaken zzCros-a"	In uitvoering	CAT1																										U	I	W	W	W	W							
