'Wijziging;Project;ID'	'Wijziging;ID'	'Wijziging;Korte omschrijving'	'Wijziging;Status'	'Wijziging;Categorie'	'ID'	'Korte omschrijving'	'Status'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.229'	'40 OTAP Implementeren op acceptatie'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.228'	'45 OTAP GAT test'	'Is uitgevoerd'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.227'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.226'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.225'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.224'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'63.773'	'standcodering: migratie naar diensten'	'In uitvoering'	'CAT1'	'692.223'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.311'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.310'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.309'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.308'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.307'	'40 OTAP Implementeren op acceptatie'	'Is uitgevoerd'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.306'	'45 OTAP GAT test'	'In uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.305'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.304'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.303'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.302'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'63.979'	'BRV:  migratie naar diensten'	'In uitvoering'	'CAT1'	'694.301'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.477'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.476'	'20 OTAP Bouw'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.475'	'30 OTAP Implementeren op test'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.474'	'35 OTAP Functionele test'	'Is uitgevoerd'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.473'	'40 OTAP Implementeren op acceptatie'	'In uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.472'	'45 OTAP GAT test'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.471'	'50 OTAP Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.470'	'60 OTAP Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.469'	'80 OTAP Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.468'	'90 OTAP Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'64.093'	'RME: Meetmiddelen intern :  migratie naar diensten'	'In uitvoering'	'CAT1'	'695.467'	'99 OTAP Evalueren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.095'	'RME: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'	'695.516'	'20 KPW bouw'	'In uitvoering'
'1.778'	'64.095'	'RME: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'	'695.515'	'35 KPW Funct. test'	'Wacht op uitvoering'
'1.778'	'64.095'	'RME: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'	'695.514'	'45 KPW Gat test '	'Wacht op uitvoering'
'1.778'	'64.095'	'RME: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'	'695.513'	'60 KPW Impl.op productie '	'Wacht op uitvoering'
'1.778'	'64.095'	'RME: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'	'695.512'	'99 KPW Evaluatie vd wijziging '	'Wacht op uitvoering'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.394'	'10 AP-Model intake'	'Is uitgevoerd'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.393'	'20 AP-Model Bouw'	'Is uitgevoerd'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.392'	'40 AP-Model Implementeren op acceptatie '	'Is uitgevoerd'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.391'	'45 AP-Model GAT test'	'In uitvoering'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.390'	'50 AP-Model Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.389'	'60 AP-Model Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.388'	'80 AP-Model  Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.387'	'90 AP-Model Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'64.341'	'standcodering: aanvraag zzstandcodering op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.386'	'99 AP-Model Evaluatie'	'Wacht op uitvoering'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.442'	'10 AP-Model intake'	'Is uitgevoerd'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.441'	'20 AP-Model Bouw'	'Is uitgevoerd'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.440'	'40 AP-Model Implementeren op acceptatie '	'Is uitgevoerd'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.439'	'45 AP-Model GAT test'	'In uitvoering'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.438'	'50 AP-Model Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.437'	'60 AP-Model Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.436'	'80 AP-Model  Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.435'	'90 AP-Model Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'64.345'	'rme: aanvraag zzwebrme op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.434'	'99 AP-Model Evaluatie'	'Wacht op uitvoering'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.490'	'10 AP-Model intake'	'Is uitgevoerd'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.489'	'20 AP-Model Bouw'	'Is uitgevoerd'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.488'	'40 AP-Model Implementeren op acceptatie '	'Is uitgevoerd'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.487'	'45 AP-Model GAT test'	'In uitvoering'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.486'	'50 AP-Model Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.485'	'60 AP-Model Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.484'	'80 AP-Model  Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.483'	'90 AP-Model Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'64.349'	'brv: aanvraag zzwebbrv op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'698.482'	'99 AP-Model Evaluatie'	'Wacht op uitvoering'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.453'	'10 AP-Model intake'	'Is uitgevoerd'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.452'	'20 AP-Model Bouw'	'Is uitgevoerd'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.451'	'40 AP-Model Implementeren op acceptatie '	'Is uitgevoerd'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.450'	'45 AP-Model GAT test'	'In uitvoering'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.449'	'50 AP-Model Vrijgave wijziging'	'Wacht op uitvoering'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.448'	'60 AP-Model Implementeren op productie'	'Wacht op uitvoering'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.447'	'80 AP-Model  Accepteren van de wijziging'	'Wacht op uitvoering'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.446'	'90 AP-Model Bijwerken CMDB'	'Wacht op uitvoering'
'1.778'	'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'	'708.445'	'99 AP-Model Evaluatie'	'Wacht op uitvoering'
'1.778'	'65.266'	'RIB:Nieuwe DNS entry/entries voor RIB '	'In uitvoering'	'CAT0'	'708.469'	'20 KPW bouw'	'Is uitgevoerd'
'1.778'	'65.266'	'RIB:Nieuwe DNS entry/entries voor RIB '	'In uitvoering'	'CAT0'	'708.468'	'35 KPW Funct. test'	'In uitvoering'
'1.778'	'65.266'	'RIB:Nieuwe DNS entry/entries voor RIB '	'In uitvoering'	'CAT0'	'708.467'	'45 KPW Gat test '	'Wacht op uitvoering'
'1.778'	'65.266'	'RIB:Nieuwe DNS entry/entries voor RIB '	'In uitvoering'	'CAT0'	'708.466'	'60 KPW Impl.op productie '	'Wacht op uitvoering'
'1.778'	'65.266'	'RIB:Nieuwe DNS entry/entries voor RIB '	'In uitvoering'	'CAT0'	'708.465'	'99 KPW Evaluatie vd wijziging '	'Wacht op uitvoering'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.480'	'10 OTAP Intake'	'Is uitgevoerd'
'1.778'	'65.267'	'RIB: migratie naar diensten'	'In uitvoering'	'CAT1'	'708.479'	'20 OTAP Bouw'	'Is uitgevoerd'
