Applicatie	RFC	Omschrijving	Status	Categorie	20 AP-Model Bouw	40 AP-Model Implementeren op acceptatie 	45 AP-Model GAT test	50 AP-Model Vrijgave wijziging	60 AP-Model Implementeren op productie	80 AP-Model  Accepteren van de wijziging	90 AP-Model Bijwerken CMDB	99 AP-Model Evaluatie	20 KPW bouw	35 KPW Funct. test	45 KPW Gat test 	60 KPW Impl.op productie 	99 KPW Evaluatie vd wijziging 	20 OTAP Bouw	30 OTAP Implementeren op test	35 OTAP Functionele test	40 OTAP Implementeren op acceptatie	45 OTAP GAT test	50 OTAP Vrijgave wijziging	60 OTAP Implementeren op productie	80 OTAP Accepteren van de wijziging	90 OTAP Bijwerken CMDB	99 OTAP Evalueren van de wijziging	10 P-Model intake	20 P-Model bouw	60 P-Model Implementeren op productie	80 P-Mode  Accepteren van de wijziging	90 P-Model Bijwerken CMDB	99 P-Model Evaluatie	10 Verkort model Intake	50 Verkort Vrijgave wijziging	60 Verkort model Implementeren op productie	80 Verkort model Acceptatie vd wijziging	90 Verkort model Bijwerken CMDB	99 Verkort model  Evaluatie
"IPR"	70.974	"Aanmaken OT\zzIPR-o account"	Geaccepteerd	CAT1																																	I	W		
"KATV"	70.864	"Katv: Aanvragen zz account voor migratie naar diensten"	Geaccepteerd	CAT1																																I	W	W		
	70.865	"katv: C# 4.5 applicatie via script toevoegen in ADFS"	In uitvoering	CAT0									I	W	W	W	W																							
	70.867	"Katv: Registreren standaard C# 4.5 applicatie in TMG"	In uitvoering	CAT0									I	W	W	W	W																							
	70.868	"Katv :  migratie naar diensten"	In uitvoering	CAT1														I	W	W	W	W	W	W	W	W	W													
	70.879	"Katv: Nieuwe DNS entry/entries voor katv c# migratie"	In uitvoering	CAT0										I	W	W	W																							
"NIWO"	68.854	"NIWO  aanvraag  zz account door OTAP"	Geaccepteerd	CAT1																																		I		
	68.855	"Niwo:Nieuwe DNS entry/entries voor Niwo"	In uitvoering	CAT0										I	W	W	W																							
	68.856	"Niwo: Registreren standaard C# 4.5 applicatie in ISA"	In uitvoering	CAT0										I	W	W	W																							
	70.618	"Niwo :: Migratie naar diensten"	In uitvoering	CAT1																		I	W	W	W	W	W													
"NPR"	71.264	"NPR:XSB service OTAP serviceaccounts aanmaken voor C# 4.5 applicatie XSB201210"	Geaccepteerd	CAT1																																	I	W		
