Id	Omschrijving	Status	Categorie	HpSvcId	Appid
71782	RIB: Aanvraag zzwebrib op gatdiensten en diensten	In uitvoering	CAT1	65.265	117
71783	RIB:Nieuwe DNS entry/entries voor RIB 	In uitvoering	CAT0	65.266	117
71784	RIB: migratie naar diensten	In uitvoering	CAT1	65.267	117
71785	rib:Registreren standaard C# 4.5 applicatie in ISA	In uitvoering	CAT0	65.269	117
71786	RME: Meetmiddelen intern :  migratie naar diensten	In uitvoering	CAT1	64.093	118
71787	RME: C# 4.5 applicatie via script toevoegen in ADFS	In uitvoering	CAT0	64.095	118
71788	rme: aanvraag zzwebrme op gatdiensten en diensten	In uitvoering	CAT1	64.345	118
71789	RME: Meetmiddelen extern :  migratie naar diensten	In uitvoering	CAT1	69.203	118
71790	RME Extern:Nieuwe DNS entry/entries voor RME extern	In uitvoering	CAT0	69.200	119
71791	RME EXTERN: aanvraag zz accounts rme extern op gatdiensten en diensten	In uitvoering	CAT1	69.202	119
71792	SNG aanvraag  zz account door OTAP	Geaccepteerd	CAT1	68.810	120
71793	SNG:: Migratie naar diensten	In uitvoering	CAT1	68.806	120
71794	SNG e: Registreren standaard C# 4.5 applicatie in XML firewal	In uitvoering	CAT0	68.807	120
71795	SNG: Nieuwe DNS entry/entries  Informatie update verwijst niet naar federatie maar naar VIP 1128	In uitvoering	CAT0	68.809	120
71796	standcodering: migratie naar diensten	In uitvoering	CAT1	63.773	121
71797	standcodering: aanvraag zzstandcodering op gatdiensten en diensten	In uitvoering	CAT1	64.341	121
71798	TCB, RMA en REF: migratie data	In uitvoering	CAT1	68.911	122
71799	VRD Beheer: toevoegen functionaliteit kenteken generator	In uitvoering	CAT1	71.718	123
71803	Uitrol Oracle 11.2 client op C#.NET 4.5 omgeving	Geaccepteerd	CAT1	66.925	
71804	C# 4.5 webapplicatieservers toegang geven tot Oracle VIP's.	Geaccepteerd	CAT0	67.830	
71805	Proxy Systeemaanpassing op Presentatie berichten webfarm van het WebHosting platform.	Geaccepteerd	CAT1	70.805	
71806	Van WebHosting platform diensten de presentatie berichten webfarm toegang geven tot VIP066.  Gatdiensten:  RDW49030 > 10.222.6.30 RDW49031 > 10.222.6.31  Diensten: host 10.202.6.32 host 10.202.6.33	Geaccepteerd	CAT0	70.995	
71807	toekennen autorisaties account	Geaccepteerd	CAT1	71.051	
71808	Aanmaken DNS voor OT domein	Geaccepteerd	CAT0	71.318	
71809	Aanpassen ACL op VIP028(-o).ot.tld	Geaccepteerd	CAT0	71.349	
71810	Powershell 4 op het WebHosting platform beschikbaar stellen. de machines RDW49001 t/m RDW49009 en RDW49030 t/m RDW49033 	Geaccepteerd	CAT1	71.749	
