'ID'	'Korte omschrijving'	'Status'	'Categorie'
'65.260'	'TRB: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'64.927'	'REM: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'65.258'	'TRB:Nieuwe DNS entry/entries voor TRB'	'Gesloten'	'CAT0'
'65.266'	'RIB:Nieuwe DNS entry/entries voor RIB '	'In uitvoering'	'CAT0'
'65.269'	'rib:Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'65.265'	'RIB: Aanvraag zzwebrib op gatdiensten en diensten'	'In uitvoering'	'CAT1'
'65.628'	'C# 4.5 webapplicatieservers toegang geven tot benodigde VIP''s.'	'Gesloten'	'CAT1'
'65.854'	'CNB dashboard: applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'65.858'	'CNB dashboard:Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'65.855'	'CNB Dashboard:Nieuwe DNS entry/entries'	'Gesloten'	'CAT0'
'65.859'	'CNB dashboard: migratie naar diensten'	'In uitvoering'	'CAT1'
'65.823'	'REM: migratie naar diensten'	'Gesloten'	'CAT1'
'68.203'	'LUK: wijzigen dns cname'	'Gesloten'	'CAT0'
'68.247'	'CPlus: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'68.251'	'CPlus: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'68.248'	'cplus: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'68.300'	'Rer:: Migratie naar diensten'	'In uitvoering'	'CAT1'
'68.305'	'RER aanvraag  zz account door OTAP'	'Geaccepteerd'	'CAT1'
'68.308'	'AMSweb:: Migratie naar diensten'	'In uitvoering'	'CAT1'
'68.310'	'AMS webservice:  C# 4.5 applicatie via script toevoegen in ADFS   '	'In uitvoering'	'CAT0'
'68.311'	'AMS webservice: Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'68.313'	'AMS web aanvraag  zz account door OTAP'	'Geaccepteerd'	'CAT1'
'68.301'	'RER: C# 4.5 applicatie via script toevoegen in ADFS Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter RER het volgende script uitgevoerd te worden:  d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 RER  '	'In uitvoering'	'CAT0'
'68.302'	'RER: Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'68.303'	'RER:Nieuwe DNS entry/entries voor RER'	'In uitvoering'	'CAT0'
'68.312'	'AMS web:Nieuwe DNS entry/entries'	'In uitvoering'	'CAT0'
'68.386'	'Numgen: migratie naar diensten '	'In uitvoering'	'CAT1'
'68.387'	'numgen: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'68.249'	'CPlus: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'66.630'	'account zzwebrdd aanmaken voor OTAP'	'Geaccepteerd'	'CAT1'
'66.632'	'VIP066 open zetten voor C#.NET4.5 platform'	'Gesloten'	'CAT1'
'66.577'	'Aanvraag zzVLDBeheer door OTAP'	'Gesloten'	'CAT1'
'66.839'	'VLD: rechten verlenen van zz account op de ODS in gat en productie'	'Gesloten'	'CAT1'
'66.568'	'FWE: migratie naar diensten'	'In uitvoering'	'CAT1'
'66.569'	'FWE  raadplegen: aanvraag  zz account door OTAP'	'Geaccepteerd'	'CAT1'
'66.925'	'Uitrol Oracle 11.2 client op C#.NET 4.5 omgeving'	'Geaccepteerd'	'CAT1'
'67.229'	'afnorth: migratie naar c# platform'	'Gesloten'	'CAT1'
'67.260'	'LUK: aanmaken DNS entries door OTAP'	'Gesloten'	'CAT0'
'66.597'	'Crwam : Nieuwe DNS entry/entries voor Crwam'	'In uitvoering'	'CAT0'
'66.583'	'vld beheer: migratie naar diensten'	'Gesloten'	'CAT1'
'66.575'	'VLD beheer: Nieuwe DNS entry/entries voor VLD beheer'	'Gesloten'	'CAT0'
'66.580'	'VLD beheer C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'66.608'	'Rechten geven op ADFS en ISA in OT.'	'Gesloten'	'CAT1'
'66.579'	'VLD beheer Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'66.565'	' Aanvraag zzwebfwe op gatdiensten en diensten'	'Gesloten'	'CAT1'
'66.566'	'FWE Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'66.802'	'VIP066 open zetten voor C#.NET4.5 platform'	'Gesloten'	'CAT1'
'66.633'	'Webrdd C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'66.823'	'TCB: overzetten schema van SQL ka naar SQL diensten'	'Gesloten'	'CAT1'
'66.570'	'Crwam aanvraag  zz account door OTAP'	'Geaccepteerd'	'CAT1'
'66.573'	'Crwam C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'
'66.596'	'Crwam Aanvraag zzcrwam op gatdiensten en diensten'	'In uitvoering'	'CAT1'
'66.563'	'FWE: Nieuwe DNS entry/entries voor FWE'	'In uitvoering'	'CAT0'
'66.628'	'Webrdd: Nieuwe DNS entry/entries voor webrdd'	'Gesloten'	'CAT0'
'66.631'	'Webrdd Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'66.595'	'Crwam Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'66.479'	'IIS gescript inrichten op nieuwe C#.NET 4.5 diensten platform. Op de machines RDW49002 - 5 (A) en RDW49006 - 9 (P)'	'Gesloten'	'CAT1'
'66.567'	'FWE C# 4.5 applicatie via script toevoegen in ADFS Op de actieve ADFS server in OT, GATDIENSTEN en DIENSTEN dient  met de parameter FWE het volgende script uitgevoerd te worden:  d:\beheer\scripts\ADFS2\ Create-RelyingPartyTrust.PS1 WebFWE '	'In uitvoering'	'CAT0'
'66.572'	'Crwam: migratie naar diensten'	'In uitvoering'	'CAT1'
'67.231'	'AFNORTH: aanmaken DNS entry voor ontwikkel'	'Gesloten'	'CAT0'
'67.234'	'Afnorth: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'66.866'	'Terugroepregister: rechten verlenen van zz account op de ODS in gat en productie'	'Gesloten'	'CAT1'
'67.125'	'webfarm presentatie berichten van het C#.NET 4.5 platform toegang geven op VIP020 (RDWGW berichtenverkeer).'	'Gesloten'	'CAT1'
'67.251'	'VIP1028 inrichten op O, T, A en P Is een kopie van VIP028, maar dan voor ontsluiting van XML-FW op de bovenste bus.'	'In uitvoering'	'CAT1'
'67.300'	'zzluk: nieuw account voor ontwikkel en toevoegen c# 45 groep aan bestaande zzluk accounts'	'Gesloten'	'CAT0'
'67.314'	'Anfnorth: toevoegen rules aan afnorth claim in adfs'	'Gesloten'	'CAT1'
'67.226'	'Afnorth: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'67.302'	'LUK: migratie naar c# platform'	'Gesloten'	'CAT1'
'67.387'	'IVI beheer: uitzetten block high bit characters in ISA'	'Gesloten'	'CAT0'
'67.727'	'Implementeren HMAC sleutels op C# .NET 4.5 platform'	'In uitvoering'	'CAT1'
'67.830'	'C# 4.5 webapplicatieservers toegang geven tot Oracle VIP''s.'	'Geaccepteerd'	'CAT0'
'67.892'	'LUK: nieuwe dns cname'	'Gesloten'	'CAT0'
'67.922'	'Implementeren HMAC sleutels op C# .NET 4.5 platform'	'Geregistreerd'	'CAT1'
'69.810'	'recall registratie: migratie naar diensten'	'Gesloten'	'CAT1'
'68.442'	'account zzgaikbeheer aanmaken voor OTAP'	'In uitvoering'	'CAT1'
'68.443'	'Gaikbeheer C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'68.446'	'Nieuwe DNS entry/entries voor gaikbeheer'	'Gesloten'	'CAT0'
'68.397'	'BRD: C# 4.5 applicatie via script toevoegen in ADFS'	'Gesloten'	'CAT0'
'68.911'	'TCB, RMA en REF: migratie data'	'In uitvoering'	'CAT1'
'68.404'	'brd: migratie naar diensten'	'In uitvoering'	'CAT1'
'68.810'	'SNG aanvraag  zz account door OTAP'	'Geaccepteerd'	'CAT1'
'68.405'	'RMA: overzetten schema van SQL ka naar SQL diensten'	'Gesloten'	'CAT1'
'68.493'	'Gaik online: migratie naar diensten'	'In uitvoering'	'CAT1'
'68.994'	'IKR: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'68.471'	'Gaik beheer: migratie naar diensten'	'In uitvoering'	'CAT1'
'68.474'	'Gaik online: verwijderen oude adfs claim en toevoegen nieuwe claim'	'In uitvoering'	'CAT1'
'68.995'	'IKR: Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'68.491'	'zzgaikonline aanmaken voor OTAP'	'Gesloten'	'CAT0'
'68.411'	'REF: aanmaken ref schema in sql als dienst'	'Gesloten'	'CAT1'
'68.807'	'SNG e: Registreren standaard C# 4.5 applicatie in XML firewal'	'In uitvoering'	'CAT0'
'68.444'	'Gaikbeheer Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'68.479'	'Gaik online: Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'68.900'	'OVI opvraging: migratie van oracle naar sql als dienst'	'Gesloten'	'CAT1'
'68.399'	'BRD: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'68.523'	'ERHviewer: migratie naar diensten'	'In uitvoering'	'CAT1'
'68.809'	'SNG: Nieuwe DNS entry/entries  Informatie update verwijst niet naar federatie maar naar VIP 1128'	'In uitvoering'	'CAT0'
'68.909'	'cnb dashboard: aanvraag zzwebcnb doort OTAP'	'Gesloten'	'CAT1'
'68.400'	'BRD: aanmaken DNS entries'	'Gesloten'	'CAT0'
'68.836'	'Nieuwe zandbak machine ivm testen applicaties c# migratie'	'Gesloten'	'CAT1'
'68.388'	'numgen: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'68.403'	'cplus: migratie naar diensten'	'In uitvoering'	'CAT1'
'68.693'	'Aanmaken zz accounts op oracle'	'Gesloten'	'CAT0'
'68.806'	'SNG:: Migratie naar diensten'	'In uitvoering'	'CAT1'
'68.401'	'brd: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'68.992'	'IKR: aanvraag en aanpassen zz account door OTAP'	'Gesloten'	'CAT1'
'68.996'	'ikr: migratie naar diensten'	'In uitvoering'	'CAT1'
'68.854'	'NIWO  aanvraag  zz account door OTAP'	'Geaccepteerd'	'CAT1'
'68.855'	'Niwo:Nieuwe DNS entry/entries voor Niwo'	'In uitvoering'	'CAT0'
'68.856'	'Niwo: Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'69.034'	'RET: aanmaken ADFS claim'	'Gesloten'	'CAT1'
'69.200'	'RME Extern:Nieuwe DNS entry/entries voor RME extern'	'In uitvoering'	'CAT0'
'69.201'	' RME extern :Registreren standaard C# 4.5 applicatie in ISA'	'In uitvoering'	'CAT0'
'69.204'	' RME EXTERN: C# 4.5 applicatie via script toevoegen in ADFS'	'In uitvoering'	'CAT0'
'69.203'	'RME: Meetmiddelen extern :  migratie naar diensten'	'In uitvoering'	'CAT1'
'69.374'	'Recall registratie: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'69.202'	'RME EXTERN: aanvraag zz accounts rme extern op gatdiensten en diensten'	'In uitvoering'	'CAT1'
'69.289'	'IKR: standaard adfs claim rule aanmaken'	'In uitvoering'	'CAT0'
'69.376'	'Recall registratie: aanmaken/aanpassen DNS entries'	'Gesloten'	'CAT0'
'69.399'	'CRWAM adfs aanvraag ivm C# Migratie'	'In uitvoering'	'CAT1'
'69.404'	'OVI: migratie naar het webhosting (c# 4.5) platform'	'Gesloten'	'CAT1'
'69.408'	'OVI: zzsvcovi4 rechten geven op de ODS002 en de OVILOGDB'	'Gesloten'	'CAT0'
'69.442'	'EDS - OVIZ: migratie naar het webhosting (c# 4.5) platform'	'In uitvoering'	'CAT1'
'69.478'	'EDS - RBCZ: aanmaken zz accounts'	'Geaccepteerd'	'CAT1'
'69.302'	'Aanmaken zz accounts op oracle voor RET en IKR'	'Gesloten'	'CAT0'
'69.448'	'EDS - OVIZ: aanpassen ISA'	'In uitvoering'	'CAT1'
'69.477'	'EDS - RBCZ: aanpassen ISA'	'In uitvoering'	'CAT1'
'69.368'	'OVI anoniem en recall registratie: aanmaken zz accounts'	'Gesloten'	'CAT1'
'69.375'	'recall registratie: standaard adfs claim rule aanmaken'	'Gesloten'	'CAT0'
'69.405'	'ovi anoniem: Registreren standaard C# 4.5 applicatie in ISA'	'Gesloten'	'CAT0'
'69.479'	'EDS - RBCZ: migratie naar het webhosting (c# 4.5) platform'	'In uitvoering'	'CAT1'
'69.400'	'meet middelen extern adfs aanvraag ivm C# Migratie'	'In uitvoering'	'CAT1'
'69.445'	'EDS - OVIZ: aanmaken zz accounts'	'Geaccepteerd'	'CAT1'
'69.533'	'Aanmaken zz accounts op oracle voor recall registratie'	'Gesloten'	'CAT0'
'69.660'	'webret: aanvraag zz account voor A en P'	'Gesloten'	'CAT1'
